6/10,International Leadership Charter School,"3030 Riverdale Avenue, Bronx, NY 10463, Bronx, NY, 10463","Public charter, 9-12",400
6/10,Urban Institute Of Mathematics,"650 Hollywood Avenue, Bronx, NY, 10465","Public district, 6-8",349
6/10,Creston Academy,"125 East 181st Street, Bronx, NY, 10453","Public district, 6-8",459
6/10,Baychester Academy,"3500 Edson Avenue, Bronx, NY, 10466","Public district, PK-5",399
6/10,Green Dot Ny Charter School,"600 Saint Ann's Avenue, Bronx, NY, 10455","Public charter, 9-12",435
6/10,Mott Haven Academy Charter School,"170 Brown Place, Bronx, NY, 10454","Public charter, K-6",361
6/10,Girls Prep Bronx Elementary School,"681 Kelly Street, Bronx, NY, 10455","Public charter, PK-8",529
6/10,Bronx Academy Of Promise Charter School,"1349 Inwood Avenue, Bronx, NY, 10452","Public charter, K-8",580
6/10,Dr Richard Izquierdo Health and Science Charter School,"800 Home Street, Bronx, NY, 10456","Public charter, 6-12",780
6/10,One World Middle School At Edenwald,"3750 Baychester Avenue, Bronx, NY, 10466","Public district, 6-8",334
6/10,Icahn Charter School 7,"1535 Story Avenue, Bronx, NY, 10473","Public charter, K-6",246
6/10,Young Women's Leadership School of the Bronx,"1865 Morris Avenue, Bronx, NY, 10460","Public district, 6-11",462
6/10,Young Voices Academy-Bronx,"800 Lydig Avenue, Bronx, NY, 10462","Public district, PK-4",343
5/10,Hostos-Lincoln Academy of Science,"600 Saint Ann's Avenue, Bronx, NY, 10455","Public district, 6-12",504
5/10,Ps 291,"2195 Andrews Avenue North, Bronx, NY, 10453","Public district, K-5",635
5/10,Ps 8 Issac Varian,"3010 Briggs Avenue, Bronx, NY, 10458","Public district, K-5","1,005"
5/10,Ps 56 Norwood Heights,"341 East 207th Street, Bronx, NY, 10467","Public district, K-5",710
5/10,Ps 68,"4011 Monticello Avenue, Bronx, NY, 10466","Public district, PK-5",677
5/10,Ps 78 Anne Hutchinson,"1400 Needham Avenue, Bronx, NY, 10469","Public district, PK-5",823
5/10,Ps 106 Parkchester,"1514 Olmstead Avenue, Bronx, NY, 10462","Public district, PK-5","1,093"
5/10,Ps 107,"1695 Seward Avenue, Bronx, NY, 10473","Public district, PK-5",515
5/10,Jhs 125 Henry Hudson,"1111 Pugsley Avenue, Bronx, NY, 10472","Public district, 6-8",354
5/10,Ps 129 Twins Parks Upper,"2055 Mapes Avenue, Bronx, NY, 10460","Public district, 6-8",513
5/10,Ps 160 Walt Disney,"4140 Hutchinson River Parkway East, Bronx, NY, 10475","Public district, PK-5",405
5/10,Ps 161 Ponce De Leon,"628 Tinton Avenue, Bronx, NY, 10455","Public district, PK-5",519
5/10,Ps 236 Langston Hughes,"1871 Walton Avenue, Bronx, NY, 10453","Public district, PK-5",295
5/10,Ps 277,"519 Saint Ann's Avenue, Bronx, NY, 10455","Public district, PK-5",484
5/10,P.S. Is 218 Rafael Hernandez Dual Language Magnet School,"1220 Gerard Avenue, Bronx, NY, 10452","Public district, K-8","1,012"
5/10,Is 303 Leadership And Community Service,"1700 Macombs Road, Bronx, NY, 10453","Public district, 6-8",334
5/10,Is 254,"2452 Washington Avenue, Bronx, NY, 10458","Public district, 6-8",472
5/10,Ms 390,"1930 Andrews Avenue South, Bronx, NY, 10453","Public district, 6-9",538
5/10,Bronx Preparatory Charter School,"3872 Third Avenue, Bronx, NY, 10457","Public charter, 6-12",724
5/10,Ps 91 Bronx,"2220 Aqueduct Avenue, Bronx, NY, 10453","Public district, K-5",730
5/10,Esmt Is 190,"1550 Crotona Park East, Bronx, NY, 10460","Public district, 6-8",243
5/10,Bronx High School for Medical Science,"240 East 172nd Street, Bronx, NY, 10457","Public district, 6-12",432
5/10,The Celia Cruz Bronx High School of Music,"2780 Reservoir Avenue, Bronx, NY, 10468","Public district, 9-12",426
5/10,Discovery High School,"2780 Reservoir Avenue, Bronx, NY, 10468","Public district, 9-12",451
5/10,Kappa,"3630 Third Avenue, Bronx, NY, 10456","Public district, 6-8",317
5/10,South Bronx Preparatory A College Board School,"360 East 145th Street, Bronx, NY, 10454","Public district, 6-12",661
5/10,Bronx Lighthouse Charter School,"1001 Intervale Avenue, Bronx, NY, 10459","Public charter, K-12",649
5/10,Comprehensive Model School Project Ms 327,"1501 Jerome Avenue, Bronx, NY, 10452","Public district, 6-12",736
5/10,Riverdale Kingsbridge Academy (Ms High School 141),"660 West 237th Street, Bronx, NY, 10463","Public district, 6-12","1,516"
5/10,Accion Academy,"977 Fox Street, Bronx, NY, 10459","Public district, 6-8",152
5/10,Bronx Latin School,"800 Home Street, Bronx, NY, 10456","Public district, 6-12",576
5/10,Bronx Center For Science And Mathematics,"1363 Fulton Avenue, Bronx, NY, 10456","Public district, 9-12",461
