8/10,Harlem Children S Zone Promise Academy Ii Charter,"35 East 125th Street, New York, NY, 10035","Public charter, K-12","1,002"
8/10,Harlem Children's Zone Promise Academy Charter School,"245 West 129th Street, New York, NY, 10027","Public charter, K-12","1,154"
8/10,Kipp Infinity Charter School,"625 West 133rd Street, New York, NY, 10027","Public charter, K-12","1,136"
8/10,Dream Charter School,"1991 2nd Avenue, New York, NY, 10029","Public charter, K-9",642
8/10,KIPP NYC WASHINGTON HEIGHTS CHARTER,"21 Jumel Place, New York, NY, 10032","Public charter, K-10",989
8/10,River School (The),"425 East 35th Street, New York, NY, 10016","Public district, PK-4",273
7/10,Central Park East High School,"1573 Madison Avenue, New York, NY, 10029","Public district, 9-12",493
7/10,Talent Unlimited High School,"300 East 68th Street, New York, NY, 10065","Public district, 9-12",480
7/10,Professional Performing Arts High School,"328 West 48th Street, New York, NY, 10036","Public district, 6-12",562
7/10,Ps 1 Alfred E Smith,"8 Henry Street, New York, NY, 10038","Public district, PK-5",318
7/10,Ps 2 Meyer London,"122 Henry Street, New York, NY, 10002","Public district, PK-5",550
7/10,Ps 11 William T Harris,"320 West 21st Street, New York, NY, 10011","Public district, PK-5",920
7/10,Ps 19 Asher Levy,"185 1st Avenue, New York, NY, 10003","Public district, PK-5",258
7/10,Ps 33 Chelsea Prep,"281 9th Avenue, New York, NY, 10001","Public district, PK-5",628
7/10,Ps 75 Emily Dickinson,"735 West End Avenue, New York, NY, 10025","Public district, K-5",562
7/10,Ps 116 Mary Lindley Murray,"210 East 33rd Street, New York, NY, 10016","Public district, PK-6",545
7/10,Ps 126 Jacob August Riis,"80 Catherine Street, New York, NY, 10038","Public district, PK-8",783
7/10,Ps 198 Isador E Ida Straus,"1700 3rd Avenue, New York, NY, 10128","Public district, PK-5",461
7/10,Young Women's Leadership School,"105 East 106th Street, New York, NY, 10029","Public district, 6-12",483
7/10,Ella Baker School,"317 East 67th Street, New York, NY, 10065","Public district, PK-8",321
7/10,Ms 131,"100 Hester Street, New York, NY, 10002","Public district, 6-8",431
7/10,Manhattan Center for Science & Mathematics,"260 Pleasant Avenue, New York, NY, 10029","Public district, 9-12","1,627"
7/10,Ms 247 Dual Language Middle School,"100 West 77th Street, New York, NY, 10024","Public district, 6-8",198
7/10,Community Action School Ms 258,"154 West 93rd Street, New York, NY, 10025","Public district, 6-8",222
7/10,Ps 333 Manhattan School For Children,"154 West 93rd Street, New York, NY, 10025","Public district, K-8",755
7/10,Sisulu Walker Charter School Of Harlem,"125 West 115th Street, New York, NY, 10026","Public charter, K-5",220
7/10,The East Village Community School,"610 East 12th Street, New York, NY, 10009","Public district, PK-5",314
7/10,Amber Charter School,"220 East 106th Street, New York, NY, 10029","Public charter, K-5",497
7/10,KIPP S.T.A.R. Charter School,"433 West 123rd Street, New York, NY, 10027","Public charter, K-3, 5-12",922
7/10,City College Academy Of The Arts,"4600 Broadway, New York, NY, 10040","Public district, 6-12",600
7/10,47 the American Sign Language and English Lower School,"223 East 23rd Street, New York, NY, 10010","Public district, PK-8",195
7/10,River East Elementary School,"2351 1st Avenue, New York, NY, 10035","Public district, PK-5",189
7/10,Paula Hedbavny School,"421 West 219th Street, New York, NY, 10034","Public district, K-8",558
7/10,Democracy Preparatory Charter School,"2230 5th Avenue, New York, NY, 10037","Public charter, 6-12",691
7/10,The Equity Project Charter School,"549 Audubon Avenue, New York, NY, 10040","Public charter, K-1, 5-8",720
7/10,Democracy Prep Endurance Charter School,"250 West 127th Street, New York, NY, 10027","Public charter, 6-11",440
7/10,Neighborhood Charter School of Harlem,"132 West 124th Street, New York, NY, 10027","Public charter, K-6",465
7/10,West End Secondary School,"227 West 61st Street, New York, NY, 10023","Public district, 6-8",339
6/10,Park East High School,"230 East 105th Street, New York, NY, 10029","Public district, 9-12",400
6/10,East Side Community School,"420 East 12th Street, New York, NY, 10009","Public district, 6-12",678
6/10,Ps 7 Samuel Stern,"160 East 120th Street, New York, NY, 10035","Public district, PK-8",356
6/10,Ps 15 Roberto Clemente,"333 East 4th Street, New York, NY, 10009","Public district, PK-5",191
6/10,Ps 153 Adam Clayton Powell,"1750 Amsterdam Avenue, New York, NY, 10031","Public district, PK-5",590
6/10,Ps 173,"306 Fort Washington Avenue, New York, NY, 10033","Public district, PK-5",484
6/10,Ps Is 187 Hudson Cliffs,"349 Cabrini Boulevard, New York, NY, 10040","Public district, PK-8",794
6/10,Ps 192 Jacob H Schiff,"500 West 138th Street, New York, NY, 10031","Public district, PK-5",442
6/10,The Children's Workshop School,"610 East 12th Street, New York, NY, 10009","Public district, PK-5",318
6/10,Tompkins Square Middle School,"600 East 6th Street, New York, NY, 10009","Public district, 6-8",376
6/10,Ps 92 Mary Mcleod Bethune,"222 West 134th Street, New York, NY, 10030","Public district, PK-5",263
6/10,Ms 319 Marie Teresa,"21 Jumel Place, New York, NY, 10032","Public district, 6-8",421
6/10,Frank Mccourt High School,"145 West 84th Street, New York, NY, 10024","Public district, 9-12",410
6/10,Democracy Prep Harlem Charter School,"207 West 133rd Street, New York, NY, 10030","Public charter, K-4, 6-12",930
6/10,Great Oaks Charter School,"38 Delancey Street-3rd Fl, New York, NY, 10002","Public charter, 6-8",215
6/10,Harlem Hebrew Language Academy,"147 Saint Nicholas Avenue, New York, NY, 10026","Public charter, K-5",388
6/10,E Harlem Scholars Acad Charter School,"2050 2nd Avenue, New York, NY, 10029","Public charter, PK-7",525
6/10,New York French American Charter School,"311 West 120th Street, New York, NY, 10027","Public charter, K-5",284
6/10,HAMILTON GRANGE MIDDLE SCHOOL,"500 West 138th Street, New York, NY, 10031","Public district, 6-8",267
5/10,Chelsea Career And Technical Education High School,"131 6th Avenue, New York, NY, 10013","Public district, 9-12",432
5/10,The High School of Fashion Industries,"225 West 24th Street, New York, NY, 10011","Public district, 9-12","1,601"
5/10,The Bilingual Bicultural School,"219 East 109th Street, New York, NY, 10029","Public district, K-5",312
5/10,Ps 84 Lilian Weber,"32 West 92nd Street, New York, NY, 10025","Public district, PK-5",648
5/10,Ps 111 Adolph S Ochs,"440 West 53rd Street, New York, NY, 10019","Public district, PK-5",390
5/10,Ps 142 Amalia Castro,"100 Attorney Street, New York, NY, 10002","Public district, PK-5",344
5/10,Ps 145 The Bloomingdale School,"150 West 105th Street, New York, NY, 10025","Public district, PK-5",381
5/10,Ps Is 210 21st Century Academy For Community Lders,"501 West 152nd Street, New York, NY, 10031","Public district, PK-8",421
5/10,Professor Juan Bosch Public School,"12 Ellwood Street, New York, NY, 10040","Public district, K-5",296
5/10,Ps 175 Henry H Garnet,"175 West 134th Street, New York, NY, 10030","Public district, PK-5",319
5/10,Harlem Day Charter School,"240 East 123rd Street, New York, NY, 10035","Public charter, K-10",913
5/10,Ms 256 Academic And Athletic Excellence,"154 West 93rd Street, New York, NY, 10025","Public district, 6-8",140
5/10,University Neighborhood High School,"200 Monroe Street, New York, NY, 10002","Public district, 9-12",472
5/10,Earth School,"600 East 6th Street, New York, NY, 10009","Public district, PK-5",349
5/10,Marble Hill High School of International Studies,"99 Terrace View Avenue, New York, NY, 10463","Public district, 9-12",439
5/10,Manhattan Bridges High School,"525 West 50th Street, New York, NY, 10019","Public district, 9-12",513
5/10,Ps 83 Luis Munoz Rivera,"219 East 109th Street, New York, NY, 10029","Public district, PK-5",433
5/10,Harlem Village Academy West Charter,"35 West 124th Street, New York, NY, 10027","Public charter, K-12",932
5/10,Thurgood Marshall Academy Lower School,"282 West 151st Street, New York, NY, 10039","Public district, K-5",221
5/10,Middle School 322,"4600 Broadway, New York, NY, 10040","Public district, 6-8",302
5/10,Harlem Village Academy Leadership Middle School,"35 West 124th Street, New York, NY, 10027","Public charter, K-12",820
5/10,Amistad Dual Language School,"4862 Broadway, New York, NY, 10034","Public district, K-8",391
5/10,Ms 324 Patria Mirabal,"21 Jumel Place, New York, NY, 10032","Public district, 6-8",392
5/10,New Heights Academy Charter School,"1818 Amsterdam Avenue, New York, NY, 10031","Public charter, 5-12",755
5/10,Lower East Side Preparatory High School,"145 Stanton Street, New York, NY, 10002","Public district, 9-12",500
5/10,Yorkville Community School,"421 East 88th Street, New York, NY, 10128","Public district, PK-5",513
5/10,CITY KNOLL MIDDLE SCHOOL,"425 West 33rd Street, New York, NY, 10001","Public district, 6-8",237
5/10,Inwood Academy For Leadership Charter School,"108 Cooper Street, New York, NY, 10034","Public charter, 5-12",892
5/10,East Harlem Scholars Academy Charter School II,"1573 Madison Avenue, New York, NY, 10029","Public charter, K-5",341
5/10,Teachers College Community School,"223 West 132nd Street, New York, NY, 10027","Public district, PK-6",285
5/10,Manhattan Early College School For Advertising,"411 Pearl Street, New York, NY, 10038","Public district, 9-12",368
4/10,Is 218 Salome Urena,"4600 Broadway, New York, NY, 10040","Public district, 6-8",173
4/10,Ps 5 Ellen Lurie,"3703 10th Avenue, New York, NY, 10040","Public district, PK-5",593
4/10,Is 528 Bea Fuller Rodgers School,"180 Wadsworth Avenue, New York, NY, 10033","Public district, 6-8",226
4/10,High School for Health Professions & Human Services,"345 East 15th Street, New York, NY, 10003","Public district, 9-12","1,817"
4/10,High School Of Economics And Finance,"100 Trinity Place, New York, NY, 10006","Public district, 9-12",750
4/10,Frederick Douglass Academy,"2581 Adam Clayton Powell Junior Boulevard, New York, NY, 10001","Public district, 6-12","1,360"
4/10,Ps 8 Luis Belliard,"465 West 167th Street, New York, NY, 10032","Public district, PK-5",527
4/10,Repertory Company High School for Theatre Arts,"123 West 43rd Street, New York, NY, 10036","Public district, 9-12",242
4/10,Art and Design High School,"231 East 56th Street, New York, NY, 10022","Public district, 9-12","1,445"
4/10,Ps 20 Anna Silver,"166 Essex Street, New York, NY, 10002","Public district, PK-5",494
4/10,Ps 28 Wright Brothers,"475 West 155th Street, New York, NY, 10032","Public district, PK-5",668
4/10,Ps 30 Hernandez Hughes,"144 East 128th Street, New York, NY, 10035","Public district, PK-5",250
4/10,Ps 36 Margaret Douglas,"123 Morningside Drive, New York, NY, 10027","Public district, PK-5",395
4/10,Ps 154 Harriet Tubman,"250 West 127th Street, New York, NY, 10027","Public district, PK-5",293
4/10,James Weldon Johnson School,"176 East 115th Street, New York, NY, 10029","Public district, PK-8",803
4/10,Ps 140 Nathan Straus,"123 Ridge Street, New York, NY, 10002","Public district, PK-8",371
4/10,P.S. 161 Pedro Albizu Campos,"499 West 133rd Street, New York, NY, 10027","Public district, K-8",827
4/10,Ps 165 Robert E Simon,"234 West 109th Street, New York, NY, 10025","Public district, PK-8",600
4/10,Richard R Green High School Of Teaching,"7 Beaver Street, New York, NY, 10004","Public district, 9-12",502
4/10,Stem Institute Of Manhattan,"240 West 113th Street, New York, NY, 10026","Public district, K-5",133
4/10,Ms 250 West Side Collaborative Middle School,"735 West End Avenue, New York, NY, 10025","Public district, 6-8",180
4/10,Harbor Science and Arts Charter School,"132/142 East 111th Street, New York, NY, 10029","Public charter, K-8",252
4/10,Ms 224 Manhattan East School For Arts And Academy,"410 East 100th Street, New York, NY, 10029","Public district, 6-8",174
4/10,Ps 64 Robert Simon,"600 East 6th Street, New York, NY, 10009","Public district, PK-5",243
4/10,New Design High School,"350 Grand Street, New York, NY, 10002","Public district, 9-12",420
4/10,Ps 180 Hugo Newman,"370 West 120th Street, New York, NY, 10027","Public district, PK-8",548
4/10,American Sign Language & English Secondary School,"223 East 23rd Street, New York, NY, 10010","Public district, 9-12",170
4/10,Food And Finance High School,"525 West 50th Street, New York, NY, 10019","Public district, 9-12",383
4/10,Pace High School,"100 Hester Street, New York, NY, 10002","Public district, 9-12",535
4/10,Harlem Link Charter School,"20 West 112th Street, New York, NY, 10026","Public charter, K-5",414
4/10,Future Leaders Institute Charter School,"134 West 122nd Street, New York, NY, 10027","Public charter, K-8",399
4/10,Isaac Newton Ms For Math And Science,"260 Pleasant Avenue, New York, NY, 10029","Public district, 6-8",192
4/10,Central Park East Ii,"433 East 100th Street, New York, NY, 10029","Public district, PK-8",445
4/10,Harbor Heights Middle School,"306 Fort Washington Avenue, New York, NY, 10033","Public district, 6-8",129
4/10,Community Health Academy of the Heights,"504 West 158th Street, New York, NY, 10032","Public district, 6-12",690
4/10,Gramercy Arts High School,"40 Irving Place, New York, NY, 10003","Public district, 9-12",493
4/10,Manhattan Business Academy,"351 West 18th Street, New York, NY, 10011","Public district, 9-12",422
4/10,Emma Lazarus High School,"100 Hester Street, New York, NY, 10002","Public district, 9-12",276
4/10,Quest To Learn,"351 West 18th Street, New York, NY, 10011","Public district, 6-12",579
4/10,West Prep Academy,"150 West 105th Street, New York, NY, 10025","Public district, 6-8",201
4/10,Esperanza Prepatory Academy,"240 East 109th Street, New York, NY, 10029","Public district, 6-12",564
4/10,Mosaic Preparatory Academy,"141 East 111th Street, New York, NY, 10029","Public district, PK-5",328
4/10,Renaissance School Of The Arts,"319 East 117th Street, New York, NY, 10035","Public district, 6-8",146
4/10,St Hope Leadership Academy Charter School,"222 West 134th Street, New York, NY, 10030","Public charter, 6-8",303
4/10,Urban Assembly New York Harbor School,"10 South Street, New York, NY, 10004","Public district, 9-12",532
