10/10,Success Academy Charter - Washington Hgts,"701 Fort Washington Avenue, New York, NY, 10040","Public charter, K-4",517
10/10,Success Academy Bronx 4,"885 Bolton Avenue, Bronx, NY, 10473","Public charter, K-4",524
10/10,Success Academy Bergen Beach,"1420 East 68 Street, Brooklyn, NY, 11234","Public charter, K-4",424
10/10,Success Academy Rosedale,"147-65 249th Street, Queens, NY, 11422","Public charter, K-4",505
10/10,Westorchard School,"25 Granite Road, Chappaqua, NY, 10514","Public district, K-4",413
10/10,Mcvey Elementary School,"2201 Devon Street, East Meadow, NY, 11554","Public district, K-5",710
10/10,Willets Road School,"455 I U Willets Road, Roslyn Heights, NY, 11577","Public district, 5-7",393
10/10,Greenvale School,"1 Gabriel Rescigno Drive, Scarsdale, NY, 10583","Public district, 2-5",574
9/10,John Lewis Childs School,"10 Elizabeth Street, Floral Park, NY, 11001","Public district, PK-6",660
9/10,John Street School,"560 Nassau Blvd, Franklin Square, NY, 11010","Public district, PK-6",484
9/10,Garden City Middle School,"98 Cherry Valley Avenue, Garden City, NY, 11530","Public district, 6-8",931
9/10,Stratford Avenue School,"97 Stratford Avenue, Garden City, NY, 11530","Public district, 2-5",568
9/10,E M Baker School,"69 Baker Hill Road, Great Neck, NY, 11023","Public district, K-5",661
9/10,Great Neck North High School,"35 Polo Road, Great Neck, NY, 11023","Public district, 9-12","1,134"
9/10,Great Neck South Middle School,"349 Lakeville Road, Lake Success, NY, 11020","Public district, 6-8",781
9/10,Lakeville Elementary School,"4727 Jayson Avenue, Great Neck, NY, 11020","Public district, 1-5",746
9/10,Greenwood Lake Middle School,"1247 Lakes Road, Monroe, NY, 10950","Public district, 4-8",292
9/10,Half Hollow Hills High School East,"50 Vanderbilt Parkway, Dix Hills, NY, 11746","Public district, 9-12","1,725"
9/10,Hauppauge High School,"500 Lincoln Boulevard, Hauppauge, NY, 11788","Public district, 9-12","1,209"
9/10,Denton Avenue School,"1050 Denton Avenue, New Hyde Park, NY, 11040","Public district, K-5",663
9/10,Herricks High School,"100 Shelter Rock Road, New Hyde Park, NY, 11040","Public district, 9-12","1,334"
9/10,Herricks Middle School,"7 Hilldale Drive, Albertson, NY, 11507","Public district, 6-8",937
9/10,Honeoye Falls Lima Senior High School,"83 East Street, Honeoye Falls, NY, 14472","Public district, 9-12",752
9/10,Dake Junior High School,"350 Cooper Road, Irondequoit, NY, 14617","Public district, 7-8",545
9/10,Cantiague Elementary School,"678 Cantiague Rock Road, Jericho, NY, 11753","Public district, K-5",396
9/10,John Jay High School,"60 Lower Salem Road, South Salem, NY, 10590","Public district, 9-12","1,059"
9/10,Thomas Jefferson Elementary School,"3636 Gomer Street, Yorktown Heights, NY, 10598","Public district, K-5",480
9/10,Hillview Elementary School,"11 Pleasant View Drive, Lancaster, NY, 14086","Public district, K-3",508
