,school,rating,type,students,grades,city,zip
2327,Schlegel Road Elementary School,5,Public district,469, PK-5, Webster, 14580
2328,Wellsville Senior High School,5,Public district,672, 6-12, Wellsville, 14895
2329,Santapogue School,5,Public district,317, K-5, West Babylon, 11704
2330,Stonehedge Elementary School,5,Public district,872, K-5, Camillus, 13031
2331,Oquenock Elementary School,5,Public district,424, K-5, West Islip, 11795
2332,Allendale Elementary School,5,Public district,573, PK-5, West Seneca, 14224
2333,Clinton Elementary School,5,Public district,583, K-6, Buffalo, 14224
2334,West Seneca East Senior High School,5,Public district,924, 9-12, Buffalo, 14224
2335,West Middle School,5,Public district,842, 6-8, Buffalo, 14224
2336,West Seneca West Senior High School,5,Public district,"1,231", 9-12, Buffalo, 14224
2337,Mount Markham Elementary School,5,Public district,403, PK-4, West Winfield, 13491
2338,Mount Markham Senior High School,5,Public district,339, 9-12, West Winfield, 13491
2339,Drexel Avenue School,5,Public district,572, 1-5, Westbury, 11590
2340,Powells Lane School,5,Public district,550, 1-5, Westbury, 11590
2341,Westbury High School,5,Public district,"1,640", 9-12, Old Westbury, 11568
2342,Westmoreland Middle School,5,Public district,306, 5-8, Westmoreland, 13490
2343,George Washington School,5,Public district,638, K-5, White Plains, 10604
2344,White Plains Senior High School,5,Public district,"2,167", 8-12, White Plains, 10605
2345,Church Street School,5,Public district,662, K-5, White Plains, 10603
2346,Williamson Middle School,5,Public district,357, 5-8, Williamson, 14589
2347,Williamson Elementary School,5,Public district,428, PK-5, Williamson, 14589
2348,Williamson Senior High School,5,Public district,313, 9-12, Williamson, 14589
2349,Forest Elementary School,5,Public district,561, K-4, Buffalo, 14221
2350,Heim Elementary School,5,Public district,604, K-4, Buffalo, 14221
2351,Wilson High School,5,Public district,651, 6-12, Wilson, 14172
2352,Wyoming Central School,5,Public district,115, K-8, Wyoming, 14591
2353,Family School 32,5,Public district,588, PK-8, Yonkers, 10710
2354,Montessori School 31,5,Public district,382, PK-6, Yonkers, 10710
2355,Paideia School 24,5,Public district,480, PK-6, Yonkers, 10701
2356,Yonkers Montessori Academy,5,Public district,"1,388", PK-12, Yonkers, 10704
2357,School 21,5,Public district,460, PK-6, Yonkers, 10705
2358,School 29,5,Public district,638, PK-8, Yonkers, 10710
2359,Mohansic School,5,Public district,497, K-3, Yorktown Heights, 10598
2360,Adirondack Middle School,5,Public district,253, 6-8, Boonville, 13309
2361,Discovery School,5,Public district,608, PK-8, Buffalo, 14220
2362,Grabiarz Campus School 79,5,Public district,593, PK-8, Buffalo, 14207
2363,Greenville Middle School,5,Public district,281, 2, Greenville, 12083
2364,Homer Junior High School,5,Public district,486, 6-8, Homer, 13077
2365,Rj O Intermediate School,5,Public district,451, 4-5, Kings Park, 11754
2366,Lyons Middle School,5,Public district,123, 7-8, Lyons, 14489
2367,Ms 256 Academic And Athletic Excellence,5,Public district,140, 6-8, New York, 10025
2368,University Neighborhood High School,5,Public district,472, 9-12, New York, 10002
2369,Ps 277,5,Public district,484, PK-5, Bronx, 10455
2370,P.S. Is 218 Rafael Hernandez Dual Language Magnet School,5,Public district,"1,012", K-8, Bronx, 10452
2371,Is 303 Leadership And Community Service,5,Public district,334, 6-8, Bronx, 10453
2372,Is 254,5,Public district,472, 6-8, Bronx, 10458
2373,Ms 390,5,Public district,538, 6-9, Bronx, 10453
2374,Taconic Hills Elementary School,5,Public district,706, PK-6, Craryville, 12521
2375,Charter School for Applied Technologies,5,Public charter,"2,180", K-12, Buffalo, 14207
2376,Bronx Preparatory Charter School,5,Public charter,724, 6-12, Bronx, 10457
2377,The Renaissance Charter School,5,Public charter,544, K-12, Queens, 11372
2378,Riverhead Charter School,5,Public charter,491, K-8, Calverton, 11933
2379,Argyle Elementary School,5,Public district,276, PK-6, Argyle, 12809
2380,Dover Middle School,5,Public district,322, 6-8, Dover Plains, 12522
2381,Global Concepts Charter School,5,Public charter,940, K-12, Buffalo, 14218
2382,Onteora Middle School,5,Public district,199, 7-8, Boiceville, 12412
2383,Roosevelt School,5,Public district,383, 5-6, Ossining, 10562
2384,Southside Academy Charter School,5,Public charter,688, K-8, Syracuse, 13207
2385,Cattaraugus Little Valley Middle School,5,Public district,267, 5-8, Cattaraugus, 14719
2386,Sodus Middle School,5,Public district,208, 4-6, Sodus, 14551
2387,Earth School,5,Public district,349, PK-5, New York, 10009
2388,The Michael J Petrides School,5,Public district,"1,313", PK-12, Staten Island, 10301
2389,Ps 91 Bronx,5,Public district,730, K-5, Bronx, 10453
