,school,rating,type,students,grades,city,zip
2262,Saugerties Senior High School,5,Public district,841, 9-12, Saugerties, 12477
2263,Lincoln Avenue Elementary School,5,Public district,425, K-5, Sayville, 11782
2264,Jessie T Zoller School,5,Public district,441, PK-5, Schenectady, 12308
2265,Schoharie High School,5,Public district,397, 7-12, Schoharie, 12157
2266,Scotia Glenville Middle School,5,Public district,619, 6-8, Scotia, 12302
2267,Mynderse Academy,5,Public district,393, 9-12, Seneca Falls, 13148
2268,Seneca Falls Middle School,5,Public district,301, 6-8, Seneca Falls, 13148
2269,Shelter Island School,5,Public district,215, PK-12, Shelter Island, 11964
2270,Okte Elementary School,5,Public district,511, K-5, Clifton Park, 12065
2271,Sherburne Earlville Middle School,5,Public district,289, 6-8, Sherburne, 13460
2272,Sidney Elementary School,5,Public district,635, PK-6, Sidney, 13838
2273,John F Kennedy Senior High School,5,Public district,414, 9-12, Cheektowaga, 14227
2274,Solvay High School,5,Public district,544, 9-12, Syracuse, 13209
2275,Somers Middle School,5,Public district,772, 6-8, Somers, 10589
2276,Veeder Elementary School,5,Public district,422, K-4, Albany, 12205
2277,Forest Park Elementary School,5,Public district,279, K-4, Albany, 12205
2278,Roessleville School,5,Public district,408, PK-4, Albany, 12205
2279,Harrison Avenue Elementary School,5,Public district,303, K-5, South Glens Falls, 12803
2280,South Glens Falls Senior High School,5,Public district,942, 9-12, South Glens Falls, 12803
2281,South Kortright Central School,5,Public district,362, PK-12, South Kortright, 13842
2282,Southampton Intermediate School,5,Public district,481, K-2, Southampton, 11968
2283,Southampton High School,5,Public district,653, 9-12, Southampton, 11968
2284,Southold Junior Senior High School,5,Public district,401, 7-12, Southold, 11971
2285,Kakiat Elementary School,5,Public district,738, 4-8, Spring Valley, 10977
2286,Pomona Middle School,5,Public district,389, 7-8, Suffern, 10901
2287,Chestnut Ridge Middle School,5,Public district,545, 7-8, Chestnut Ridge, 10977
2288,Saint Lawrence High School,5,Public district,352, 9-12, Lawrence, 13613
2289,Stamford Central School,5,Public district,271, PK-12, Stamford, 12167
2290,Starpoint Intermediate School,5,Public district,647, 3-5, Lockport, 14094
2291,Sloatsburg Elementary School,5,Public district,202, K-5, Sloatsburg, 10974
2292,Viola Elementary School,5,Public district,346, PK-5, Suffern, 10901
2293,Brookside Elementary School,5,Public district,390, PK-5, Binghamton, 13903
2294,Maplemere Elementary School,5,Public district,370, K-5, Buffalo, 14221
2295,Ticonderoga Elementary School,5,Public district,348, PK-5, Ticonderoga, 12883
2296,Fletcher Elementary School,5,Public district,268, 4-6, Tonawanda, 14150
2297,Tri Valley Elementary School,5,Public district,528, PK-6, Grahamsville, 12740
2298,Tri Valley Secondary School,5,Public district,480, 7-12, Grahamsville, 12740
2299,Ps 18,5,Public district,331, K-5, Troy, 12180
2300,Tully Elementary School,5,Public district,418, PK-6, Tully, 13159
2301,Tupper Lake Middle High School,5,Public district,321, 7-12, Tupper Lake, 12986
2302,Unatego Junior Senior High School,5,Public district,255, 9-12, Otego, 13825
2303,Lawrence Road Middle School,5,Public district,825, 6-8, Hempstead, 11550
2304,Northern Parkway Elementary School,5,Public district,812, K-5, Uniondale, 11553
2305,Turtle Hook Middle School,5,Public district,747, 6-8, Uniondale, 11553
2306,Kensico School,5,Public district,319, 3-5, Valhalla, 10595
2307,James A Dever School,5,Public district,476, K-6, Valley Stream, 11580
2308,Robert W Carbonaro School,5,Public district,415, K-6, Valley Stream, 11581
2309,Victor Primary School,5,Public district,733, K-3, Victor, 14564
2310,Plattekill Elementary School,5,Public district,464, K-6, Wallkill, 12589
2311,Walton High School,5,Public district,271, 9-12, Walton, 13856
2312,Fishkill Elementary School,5,Public district,469, K-6, Fishkill, 12524
2313,Fishkill Plains Elementary School,5,Public district,560, K-6, Wappingers Falls, 12590
2314,Gayhead School,5,Public district,898, K-6, Hopewell Junction, 12533
2315,Wappingers Junior High School,5,Public district,770, 7-8, Wappingers Falls, 12590
2316,Warrensburg Junior Senior High School,5,Public district,354, 7-12, Warrensburg, 12885
2317,Knickerbocker School,5,Public district,367, K-4, Watertown, 13601
2318,Watervliet Elementary School,5,Public district,680, K-6, Watervliet, 12189
2319,Watkins Glen Central High School,5,Public district,517, 7-12, Watkins Glen, 14891
2320,Watkins Glen Elementary School,5,Public district,564, PK-6, Watkins Glen, 14891
2321,Elm Street Elementary School,5,Public district,319, 2-4, Waverly, 14892
2322,Wayne Central Middle School,5,Public district,683, 5-8, Ontario, 14519
2323,Klem Road North Elementary School,5,Public district,575, PK-5, Webster, 14580
2324,Klem Road South Elementary School,5,Public district,541, K-5, Webster, 14580
2325,State Road Elementary School,5,Public district,539, K-5, Webster, 14580
2326,Dewitt Road Elementary School,5,Public district,510, K-5, Webster, 14580
