,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
106,Westorchard School,10,Public district,413, K-4, Chappaqua,10514,NY,10514.0,5420.0,2020.0,3080.0,220.0,2936410.0,2987006.0,37.0,3760.0,65666.0
107,Mcvey Elementary School,10,Public district,710, K-5, East Meadow,11554,NY,11554.0,19800.0,9730.0,8030.0,1620.0,1656495.0,1673780.0,270.0,10340.0,29398.0
108,Willets Road School,10,Public district,393, 5-7, Roslyn Heights,11577,NY,11577.0,5920.0,2570.0,2820.0,400.0,1160487.0,1184059.0,63.0,3680.0,20218.0
109,Greenvale School,10,Public district,574, 2-5, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
110,John Lewis Childs School,9,Public district,660, PK-6, Floral Park,11001,NY,11001.0,14090.0,6650.0,5790.0,1320.0,1287837.0,1301118.0,204.0,7350.0,21821.0
111,John Street School,9,Public district,484, PK-6, Franklin Square,11010,NY,11010.0,12830.0,6330.0,4920.0,1300.0,1001630.0,1011151.0,181.0,6640.0,15536.0
112,Garden City Middle School,9,Public district,931, 6-8, Garden City,11530,NY,11530.0,14650.0,6910.0,6760.0,660.0,3809585.0,3866878.0,202.0,9500.0,118534.0
113,Stratford Avenue School,9,Public district,568, 2-5, Garden City,11530,NY,11530.0,14650.0,6910.0,6760.0,660.0,3809585.0,3866878.0,202.0,9500.0,118534.0
114,E M Baker School,9,Public district,661, K-5, Great Neck,11023,NY,11023.0,4090.0,1710.0,2050.0,240.0,804629.0,821801.0,31.0,2530.0,21324.0
115,Great Neck North High School,9,Public district,"1,134", 9-12, Great Neck,11023,NY,11023.0,4090.0,1710.0,2050.0,240.0,804629.0,821801.0,31.0,2530.0,21324.0
116,Great Neck South Middle School,9,Public district,781, 6-8, Lake Success,11020,NY,11020.0,3040.0,1280.0,1400.0,300.0,621150.0,631450.0,23.0,1720.0,11191.0
117,Lakeville Elementary School,9,Public district,746, 1-5, Great Neck,11020,NY,11020.0,3040.0,1280.0,1400.0,300.0,621150.0,631450.0,23.0,1720.0,11191.0
118,Greenwood Lake Middle School,9,Public district,292, 4-8, Monroe,10950,NY,10950.0,17880.0,6080.0,9770.0,1710.0,1387728.0,1406693.0,230.0,7490.0,75593.0
119,Half Hollow Hills High School East,9,Public district,"1,725", 9-12, Dix Hills,11746,NY,11746.0,34150.0,16450.0,12760.0,4310.0,3593339.0,3653923.0,346.0,16510.0,58251.0
120,Hauppauge High School,9,Public district,"1,209", 9-12, Hauppauge,11788,NY,11788.0,8830.0,4290.0,3610.0,740.0,950067.0,961336.0,151.0,4750.0,14111.0
121,Denton Avenue School,9,Public district,663, K-5, New Hyde Park,11040,NY,11040.0,21640.0,9740.0,9870.0,1550.0,2267337.0,2295863.0,223.0,12120.0,50228.0
122,Herricks High School,9,Public district,"1,334", 9-12, New Hyde Park,11040,NY,11040.0,21640.0,9740.0,9870.0,1550.0,2267337.0,2295863.0,223.0,12120.0,50228.0
123,Herricks Middle School,9,Public district,937, 6-8, Albertson,11507,NY,11507.0,3860.0,1760.0,1770.0,240.0,519685.0,528662.0,45.0,2300.0,10144.0
124,Honeoye Falls Lima Senior High School,9,Public district,752, 9-12, Honeoye Falls,14472,NY,14472.0,4410.0,1970.0,2050.0,300.0,501674.0,512686.0,52.0,2210.0,9064.0
125,Dake Junior High School,9,Public district,545, 7-8, Irondequoit,14617,NY,14617.0,12300.0,6200.0,4590.0,1250.0,782001.0,793421.0,184.0,5030.0,13588.0
126,Cantiague Elementary School,9,Public district,396, K-5, Jericho,11753,NY,11753.0,6550.0,2710.0,3350.0,360.0,1518995.0,1547379.0,55.0,4090.0,27026.0
127,John Jay High School,9,Public district,"1,059", 9-12, South Salem,10590,NY,10590.0,3180.0,1410.0,1520.0,190.0,561248.0,574094.0,37.0,2050.0,8789.0
128,Thomas Jefferson Elementary School,9,Public district,480, K-5, Yorktown Heights,10598,NY,10598.0,14730.0,6580.0,6760.0,1060.0,2055016.0,2078532.0,316.0,8750.0,30144.0
129,Hillview Elementary School,9,Public district,508, K-3, Lancaster,14086,NY,14086.0,18150.0,8810.0,7740.0,1200.0,1293472.0,1309703.0,223.0,7600.0,17318.0
130,Abbey Lane School,9,Public district,650, K-5, Levittown,11756,NY,11756.0,23070.0,11540.0,8870.0,2150.0,1729655.0,1743117.0,321.0,11910.0,26836.0
131,Northside School,9,Public district,539, K-5, Levittown,11756,NY,11756.0,23070.0,11540.0,8870.0,2150.0,1729655.0,1743117.0,321.0,11910.0,26836.0
132,Wisdom Lane Middle School,9,Public district,745, 6-8, Levittown,11756,NY,11756.0,23070.0,11540.0,8870.0,2150.0,1729655.0,1743117.0,321.0,11910.0,26836.0
133,Locust Valley Middle School,9,Public district,492, 6-8, Locust Valley,11560,NY,11560.0,3380.0,1690.0,1360.0,250.0,1048964.0,1064359.0,33.0,1920.0,40484.0
134,Chatsworth Avenue School,9,Public district,726, K-5, Larchmont,10538,NY,10538.0,8150.0,3400.0,4110.0,490.0,3481123.0,3543982.0,75.0,5440.0,85900.0
135,Manhasset Middle School,9,Public district,515, 7-8, Manhasset,11030,NY,11030.0,8670.0,3680.0,4430.0,380.0,3295480.0,3355093.0,50.0,5800.0,64114.0
136,Manhasset Secondary School,9,Public district,"1,125", 9-12, Manhasset,11030,NY,11030.0,8670.0,3680.0,4430.0,380.0,3295480.0,3355093.0,50.0,5800.0,64114.0
137,Munsey Park Elementary School,9,Public district,882, K-6, Manhasset,11030,NY,11030.0,8670.0,3680.0,4430.0,380.0,3295480.0,3355093.0,50.0,5800.0,64114.0
138,Fayetteville Manlius Senior High School,9,Public district,"1,435", 9-12, Manlius,13104,NY,13104.0,7730.0,3370.0,3720.0,500.0,998793.0,1021628.0,107.0,4150.0,21625.0
139,K C Heffernan Elementary School,9,Public district,415, K-3, Marcellus,13108,NY,13108.0,3150.0,1470.0,1390.0,210.0,237451.0,241648.0,54.0,1310.0,3744.0
140,Sanford H Calhoun High School,9,Public district,"1,274", 9-12, Merrick,11566,NY,11566.0,18470.0,8390.0,8360.0,1290.0,2306019.0,2344729.0,386.0,11160.0,38595.0
141,John F Kennedy High School,9,Public district,"1,095", 9-12, Bellmore,11710,NY,11710.0,18080.0,8680.0,7630.0,1380.0,1909732.0,1934717.0,346.0,10170.0,29795.0
142,Wellington C Mepham High School,9,Public district,"1,248", 9-12, North Bellmore,11710,NY,11710.0,18080.0,8680.0,7630.0,1380.0,1909732.0,1934717.0,346.0,10170.0,29795.0
143,Birch School,9,Public district,511, K-6, Merrick,11566,NY,11566.0,18470.0,8390.0,8360.0,1290.0,2306019.0,2344729.0,386.0,11160.0,38595.0
144,New Hartford Senior High School,9,Public district,556, 10-12, New Hartford,13413,NY,13413.0,7740.0,3820.0,3210.0,590.0,737398.0,751723.0,128.0,2880.0,11506.0
