,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
2480,Germantown Elementary School,5,Public district,308, PK-6, Germantown,12526,NY,12526.0,1800.0,890.0,710.0,160.0,139238.0,141467.0,13.0,640.0,1881.0
2481,East Harlem Scholars Academy Charter School II,5,Public charter,341, K-5, New York,10029,NY,10029.0,35480.0,20610.0,5150.0,8940.0,1890385.0,1914986.0,132.0,7180.0,23266.0
2482,Teachers College Community School,5,Public district,285, PK-6, New York,10027,NY,10027.0,27760.0,16980.0,4180.0,6000.0,1805900.0,1832013.0,161.0,7970.0,29205.0
2483,Boys Prep Bronx Elementary School,5,Public charter,336, PK-4, Bronx,10451,NY,10451.0,23750.0,12220.0,2610.0,8600.0,798898.0,804450.0,90.0,4470.0,11798.0
2484,New Visions Charter HS-Adv Ma/Science II,5,Public charter,549, 9-12, Bronx,10456,NY,10456.0,40930.0,20310.0,4610.0,15510.0,1130812.0,1140125.0,104.0,5820.0,14620.0
2485,Mount Eden Children's Academy,5,Public district,424, PK-5, Bronx,10452,NY,10452.0,36880.0,18670.0,4570.0,13170.0,1055865.0,1064279.0,94.0,5560.0,13479.0
2486,Bronx Park Middle School,5,Public district,401, 6-8, Bronx,10467,NY,10467.0,45440.0,22590.0,7320.0,14800.0,1622940.0,1634676.0,168.0,9240.0,24231.0
2487,Pelham Gardens Middle School,5,Public district,452, 6-8, Bronx,10469,NY,10469.0,32780.0,15790.0,5760.0,10400.0,1526280.0,1536302.0,207.0,11140.0,34284.0
2488,Unity Prep Charter School of Brooklyn,5,Public charter,471, 6-10, Brooklyn,11221,NY,11221.0,41130.0,26230.0,4520.0,9670.0,1764282.0,1784388.0,178.0,9370.0,21278.0
2489,Brooklyn Urban Garden Charter School,5,Public charter,300, 6-8, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
2490,Fresh Creek School (The),5,Public district,214, PK-5, Brooklyn,11207,NY,11207.0,44570.0,22980.0,5120.0,15720.0,1567627.0,1578691.0,145.0,9830.0,27246.0
2491,Wave Preparatory Elementary School,5,Public district,557, PK-5, Queens,11691,NY,11691.0,23000.0,10680.0,4540.0,7370.0,1003132.0,1014726.0,176.0,5640.0,41678.0
2492,Utica Academy of Science Charter School,5,Public charter,540, 6-12, Utica,13502,NY,13502.0,14360.0,7740.0,4060.0,2330.0,630699.0,637418.0,81.0,2520.0,5315.0
2493,Presidential Park Elementary School,5,Public district,"1,490", K-5, Middletown,10940,NY,10940.0,24810.0,12000.0,6820.0,5440.0,1368193.0,1380119.0,165.0,8300.0,20210.0
2494,Corona Arts And Sciences Academy,5,Public district,726, 6-8, Queens,11368,NY,11368.0,48680.0,22710.0,12470.0,12750.0,1506903.0,1522259.0,66.0,7860.0,14986.0
2495,Riverdale Avenue Middle School,5,Public district,129, 6-8, Brooklyn,11212,NY,11212.0,38960.0,18680.0,3960.0,15540.0,1270618.0,1278075.0,111.0,7760.0,25426.0
2496,Brooklyn Environmental Exploration,5,Public district,92, 6-8, Brooklyn,11233,NY,11233.0,32850.0,18180.0,3330.0,10660.0,1375259.0,1388086.0,166.0,8280.0,25165.0
2497,Lucero Elementary School,5,Public district,411, K-5, Bronx,10452,NY,10452.0,36880.0,18670.0,4570.0,13170.0,1055865.0,1064279.0,94.0,5560.0,13479.0
2498,Queens High For Language Studies,5,Public district,428, 9-12, Queens,11354,NY,11354.0,31560.0,17040.0,10760.0,3250.0,1199798.0,1217785.0,83.0,5830.0,12604.0
2499,Manhattan Early College School For Advertising,5,Public district,368, 9-12, New York,10038,NY,10038.0,12560.0,8530.0,2700.0,1020.0,1767832.0,1788906.0,34.0,6080.0,17777.0
2500,BROOKLYN LABORATORY CHARTER SCHOOL,5,Public charter,637, 6-9, Brooklyn,11201,NY,11201.0,33550.0,20950.0,9290.0,2350.0,6976637.0,7085009.0,155.0,20650.0,112414.0
2501,CORNING-PAINTED POST MIDDLE SCHOOL,5,Public district,973, 6-8, Painted Post,14870,NY,14870.0,4500.0,2050.0,1960.0,420.0,379404.0,382330.0,38.0,1510.0,6937.0
2502,Syracuse Latin School,5,Public district,293, K-4, Syracuse,13210,NY,13210.0,6180.0,3900.0,1170.0,980.0,267760.0,271923.0,38.0,1130.0,3795.0
2503,James A Green High School,5,Public district,279, 9-12, Dolgeville,13329,NY,13329.0,1610.0,710.0,640.0,250.0,71052.0,71640.0,12.0,260.0,500.0
2504,Edwards Knox Junior Senior High School,5,Public district,248, 7-12, Hermon,13652,NY,13652.0,770.0,320.0,330.0,100.0,33490.0,33800.0,0.0,90.0,85.0
2505,Mohonasen Senior High School,5,Public district,893, 9-12, Schenectady,12303,NY,12303.0,15070.0,7300.0,5290.0,2190.0,977360.0,988746.0,107.0,5280.0,11947.0
2506,Broadalbin Perth Intermediate School,5,Public district,397, 3-5, Amsterdam,12010,NY,12010.0,13390.0,6640.0,4100.0,2400.0,677170.0,684688.0,79.0,3100.0,7657.0
2507,Jasper Troupsburg Junior Senior High School,5,Public district,225, 7-12, Jasper,14855,NY,14855.0,380.0,130.0,190.0,30.0,15254.0,15330.0,0.0,40.0,79.0
2508,Saranac Elementary School,5,Public district,371, K-5, Saranac,12981,NY,12981.0,1120.0,520.0,470.0,110.0,61048.0,61682.0,9.0,260.0,402.0
2509,Saranac Middle School,5,Public district,304, 6-8, Saranac,12981,NY,12981.0,1120.0,520.0,470.0,110.0,61048.0,61682.0,9.0,260.0,402.0
2510,Cobleskill Richmondville High School,5,Public district,565, 7, Richmondville,12149,NY,12149.0,1020.0,520.0,380.0,130.0,50721.0,51091.0,5.0,260.0,346.0
2511,Wayland Cohocton Middle School,5,Public district,382, 5-8, Wayland,14572,NY,14572.0,2240.0,1050.0,880.0,270.0,105926.0,106861.0,14.0,400.0,688.0
2512,Durhamville School,5,Public district,252, K-5, Durhamville,13054,NY,13054.0,690.0,340.0,290.0,70.0,35311.0,35708.0,0.0,140.0,143.0
2513,North Broad Street School,5,Public district,254, K-5, Oneida,13421,NY,13421.0,6190.0,3170.0,2100.0,820.0,322225.0,326166.0,50.0,1410.0,3413.0
2514,Oneida Senior High School,5,Public district,610, 9-12, Oneida,13421,NY,13421.0,6190.0,3170.0,2100.0,820.0,322225.0,326166.0,50.0,1410.0,3413.0
2515,Waterloo High School,5,Public district,483, 9-12, Waterloo,13165,NY,13165.0,5050.0,2490.0,1780.0,690.0,229377.0,232008.0,25.0,920.0,2449.0
2516,La Fayette School,5,Public district,362, 3-5, Waterloo,13165,NY,13165.0,5050.0,2490.0,1780.0,690.0,229377.0,232008.0,25.0,920.0,2449.0
2517,Waterloo Middle School,5,Public district,360, 6-8, Waterloo,13165,NY,13165.0,5050.0,2490.0,1780.0,690.0,229377.0,232008.0,25.0,920.0,2449.0
2518,Allegany Limestone Elementary School,5,Public district,514, PK-5, Allegany,14706,NY,14706.0,2800.0,1260.0,1190.0,260.0,177564.0,180071.0,31.0,700.0,2344.0
2519,Averill Park High School,5,Public district,"1,000", 9-12, Averill Park,12018,NY,12018.0,3990.0,1790.0,1780.0,330.0,324311.0,328657.0,37.0,1760.0,3913.0
2520,Unadilla Valley Central School,5,Public district,404, 5-12, New Berlin,13411,NY,13411.0,1350.0,620.0,540.0,170.0,59990.0,60502.0,8.0,200.0,233.0
2521,Addison High School,5,Public district,561, 6-12, Addison,14801,NY,14801.0,2220.0,950.0,940.0,270.0,102079.0,102774.0,12.0,340.0,537.0
2522,William S Hackett Middle School,5,Public district,676, 6-8, Albany,12202,NY,12202.0,4360.0,2460.0,440.0,1400.0,129761.0,130682.0,10.0,390.0,991.0
2523,Carl I Bergerson Middle School,5,Public district,411, 6-8, Albion,14411,NY,14411.0,5330.0,2590.0,1890.0,740.0,242804.0,245908.0,21.0,980.0,2602.0
2524,Alden Intermediate School,5,Public district,342, 3-5, Alden,14004,NY,14004.0,5410.0,2520.0,2380.0,420.0,323323.0,327071.0,42.0,1780.0,4046.0
2525,Alden Middle School,5,Public district,383, 6-8, Alden,14004,NY,14004.0,5410.0,2520.0,2380.0,420.0,323323.0,327071.0,42.0,1780.0,4046.0
2526,Floyd Bell Elementary School,5,Public district,295, PK-5, Kirkwood,13795,NY,13795.0,1790.0,830.0,680.0,220.0,86615.0,87342.0,8.0,320.0,766.0
2527,Andes Central School,5,Public district,83, PK-12, Andes,13731,NY,13731.0,480.0,240.0,200.0,20.0,30389.0,30791.0,0.0,150.0,362.0
2528,Attica Junior High School,5,Public district,385, 5-8, Attica,14011,NY,14011.0,2880.0,1420.0,1150.0,260.0,157790.0,159829.0,23.0,710.0,1726.0
2529,Auburn High School,5,Public district,"1,206", 9-12, Auburn,13021,NY,13021.0,18510.0,9770.0,5930.0,2410.0,1027669.0,1042376.0,157.0,4700.0,10897.0
2530,Owasco Elementary School,5,Public district,457, K-6, Auburn,13021,NY,13021.0,18510.0,9770.0,5930.0,2410.0,1027669.0,1042376.0,157.0,4700.0,10897.0
2531,William H Seward Elementary School,5,Public district,497, K-6, Auburn,13021,NY,13021.0,18510.0,9770.0,5930.0,2410.0,1027669.0,1042376.0,157.0,4700.0,10897.0
2532,Avoca Central School,5,Public district,428, K-12, Avoca,14809,NY,14809.0,1080.0,480.0,460.0,110.0,49206.0,49688.0,0.0,150.0,727.0
2533,Catherine M Mcnamara Elementary School,5,Public district,551, K-5, Baldwinsville,13027,NY,13027.0,17290.0,8130.0,7060.0,1690.0,1272831.0,1291361.0,223.0,6940.0,19497.0
2534,L Pearl Palmer Elementary School,5,Public district,468, K-5, Baldwinsville,13027,NY,13027.0,17290.0,8130.0,7060.0,1690.0,1272831.0,1291361.0,223.0,6940.0,19497.0
2535,Theodore R Durgee Junior High School,5,Public district,864, 8-9, Baldwinsville,13027,NY,13027.0,17290.0,8130.0,7060.0,1690.0,1272831.0,1291361.0,223.0,6940.0,19497.0
2536,Batavia High School,5,Public district,640, 9-12, Batavia,14020,NY,14020.0,10220.0,5330.0,3360.0,1310.0,497809.0,504064.0,83.0,2170.0,7245.0
2537,Batavia Middle School,5,Public district,704, 5-8, Batavia,14020,NY,14020.0,10220.0,5330.0,3360.0,1310.0,497809.0,504064.0,83.0,2170.0,7245.0
2538,Haverling Senior High School,5,Public district,449, 9-12, Bath,14810,NY,14810.0,5020.0,2440.0,1860.0,620.0,228385.0,230532.0,47.0,930.0,2787.0
2539,Bay Shore Middle School,5,Public district,"1,382", 6-8, Bay Shore,11706,NY,11706.0,33100.0,16340.0,8960.0,7110.0,2047326.0,2064327.0,237.0,12490.0,32521.0
2540,Academy Street Elementary School,5,Public district,327, K-5, Bayport,11705,NY,11705.0,4170.0,1980.0,1700.0,380.0,467324.0,473811.0,104.0,2300.0,6920.0
2541,Blue Point Elementary School,5,Public district,225, K-5, Blue Point,11715,NY,11715.0,2380.0,1160.0,1000.0,180.0,240022.0,243032.0,65.0,1430.0,3937.0
2542,Sylvan Avenue Elementary School,5,Public district,322, K-5, Bayport,11705,NY,11705.0,4170.0,1980.0,1700.0,380.0,467324.0,473811.0,104.0,2300.0,6920.0
2543,Beacon High School,5,Public district,891, 9-12, Beacon,12508,NY,12508.0,8830.0,4720.0,2690.0,1170.0,574849.0,582824.0,82.0,3260.0,6791.0
2544,Rombout Middle School,5,Public district,659, 6-8, Beacon,12508,NY,12508.0,8830.0,4720.0,2690.0,1170.0,574849.0,582824.0,82.0,3260.0,6791.0
2545,Cumberland Head Elementary School,5,Public district,525, PK-5, Plattsburgh,12901,NY,12901.0,14300.0,7870.0,4440.0,1670.0,768567.0,779778.0,120.0,3180.0,6130.0
2546,Winthrop Avenue School,5,Public district,291, 3-4, Bellmore,11710,NY,11710.0,18080.0,8680.0,7630.0,1380.0,1909732.0,1934717.0,346.0,10170.0,29795.0
2547,Gilbertsville Mount Upton Elementary School,5,Public district,177, PK-6, Gilbertsville,13776,NY,13776.0,340.0,180.0,120.0,30.0,18066.0,18265.0,0.0,80.0,82.0
2548,Adirondack High School,5,Public district,401, 9-12, Boonville,13309,NY,13309.0,2640.0,1210.0,1080.0,290.0,131656.0,132881.0,19.0,460.0,806.0
2549,Boonville Elementary School,5,Public district,372, PK-5, Boonville,13309,NY,13309.0,2640.0,1210.0,1080.0,290.0,131656.0,132881.0,19.0,460.0,806.0
2550,Forestport Elementary School,5,Public district,93, PK-5, Forestport,13338,NY,13338.0,610.0,310.0,240.0,50.0,27906.0,28088.0,0.0,120.0,145.0
2551,Henry H Wells Middle School,5,Public district,678, 6-8, Brewster,10509,NY,10509.0,10030.0,4860.0,3890.0,1040.0,897442.0,910377.0,137.0,4910.0,12594.0
2552,Fred W Hill School,5,Public district,476, 4-5, Brockport,14420,NY,14420.0,8020.0,4020.0,3050.0,790.0,457212.0,462995.0,83.0,2520.0,7070.0
2553,Brocton Elementary School,5,Public district,267, PK-5, Brocton,14716,NY,14716.0,950.0,460.0,350.0,150.0,38924.0,39376.0,0.0,130.0,155.0
2554,Brocton Middle High School,5,Public district,263, 6-12, Brocton,14716,NY,14716.0,950.0,460.0,350.0,150.0,38924.0,39376.0,0.0,130.0,155.0
2555,Brushton Moira High School,5,Public district,335, 7-12, Brushton,12916,NY,12916.0,930.0,400.0,370.0,140.0,41873.0,42184.0,8.0,110.0,247.0
2556,Hutchinson Central Technical High School,5,Public district,"1,148", 9-12, Buffalo,14201,NY,14201.0,4790.0,3000.0,690.0,1010.0,189083.0,191757.0,23.0,500.0,1722.0
2557,Leonardo Da Vinci High School,5,Public district,375, 9-12, Buffalo,14201,NY,14201.0,4790.0,3000.0,690.0,1010.0,189083.0,191757.0,23.0,500.0,1722.0
2558,Byron Bergen High School,5,Public district,422, 7-12, Bergen,14416,NY,14416.0,1890.0,860.0,820.0,170.0,106832.0,108146.0,12.0,580.0,1702.0
2559,Cairo Durham High School,5,Public district,407, 9-12, Cairo,12413,NY,12413.0,1470.0,760.0,460.0,240.0,67436.0,68047.0,5.0,380.0,506.0
2560,F S Banford Elementary School,5,Public district,533, PK-4, Canton,13617,NY,13617.0,3860.0,1890.0,1510.0,360.0,231491.0,234586.0,44.0,970.0,2663.0
2561,George Fischer Middle School,5,Public district,"1,326", 5-8, Carmel Hamlet,10512,NY,10512.0,12600.0,6030.0,5030.0,1230.0,1121928.0,1134502.0,172.0,6620.0,16548.0
2562,Cassadaga Valley High School,5,Public district,464, 6-12, Sinclairville,14782,NY,14782.0,930.0,380.0,420.0,110.0,43358.0,43741.0,8.0,140.0,443.0
2563,Sinclairville Elementary School,5,Public district,400, PK-5, Sinclairville,14782,NY,14782.0,930.0,380.0,420.0,110.0,43358.0,43741.0,8.0,140.0,443.0
2564,Cato Meridian Elementary School,5,Public district,390, PK-4, Cato,13033,NY,13033.0,1730.0,740.0,760.0,170.0,91905.0,93099.0,11.0,410.0,756.0
2565,Catskill Elementary School,5,Public district,684, PK-5, Catskill,12414,NY,12414.0,4720.0,2520.0,1440.0,650.0,250819.0,253584.0,30.0,1290.0,2684.0
2566,Center Moriches High School,5,Public district,581, 9-12, Center Moriches,11934,NY,11934.0,4060.0,1880.0,1670.0,410.0,367787.0,372646.0,76.0,2150.0,5651.0
2567,Charles A Mulligan School,5,Public district,796, 6-8, Central Islip,11722,NY,11722.0,19450.0,9680.0,4060.0,5340.0,856486.0,861279.0,78.0,6360.0,13622.0
2568,Brewerton Elementary School,5,Public district,432, PK-5, Brewerton,13029,NY,13029.0,3520.0,1620.0,1490.0,350.0,276998.0,280738.0,40.0,1460.0,4039.0
2569,Chenango Forks Elementary School,5,Public district,689, PK-5, Binghamton,13901,NY,13901.0,8570.0,4430.0,2830.0,1150.0,455880.0,461227.0,80.0,1940.0,5752.0
2570,Chenango Bridge Elementary School,5,Public district,390, 3-5, Binghamton,13901,NY,13901.0,8570.0,4430.0,2830.0,1150.0,455880.0,461227.0,80.0,1940.0,5752.0
2571,Cherry Road Elementary School,5,Public district,364, 2-4, Syracuse,13219,NY,13219.0,8270.0,4350.0,3000.0,760.0,492397.0,498525.0,110.0,3160.0,6815.0
2572,Onondaga Hill Middle School,5,Public district,558, 5-8, Syracuse,13215,NY,13215.0,7260.0,3410.0,3240.0,460.0,622616.0,634349.0,103.0,3280.0,11571.0
2573,Chester Academy Middle High School,5,Public district,643, 6-12, Chester,10918,NY,10918.0,5810.0,2730.0,2270.0,670.0,485950.0,491445.0,69.0,2860.0,8315.0
2574,Bridgeport Elementary School,5,Public district,236, K-4, Bridgeport,13030,NY,13030.0,1990.0,970.0,780.0,210.0,133460.0,135024.0,14.0,640.0,1417.0
2575,Chittenango Middle School,5,Public district,620, 5-8, Chittenango,13037,NY,13037.0,4470.0,2060.0,1870.0,450.0,280995.0,285104.0,47.0,1530.0,3542.0
2576,Fairbanks Road Elementary School,5,Public district,479, K-4, Churchville,14428,NY,14428.0,4510.0,2190.0,1920.0,320.0,280942.0,284246.0,49.0,1700.0,4675.0
2577,Cleveland Hill Elementary School,5,Public district,605, PK-5, Cheektowaga,14225,NY,14225.0,18030.0,10200.0,5160.0,2240.0,817411.0,825372.0,86.0,4060.0,7290.0
2578,Clyde Savannah High School,5,Public district,235, 9-12, Clyde,14433,NY,14433.0,1990.0,910.0,760.0,270.0,91814.0,92814.0,9.0,300.0,671.0
2579,Van Schaick Island School,5,Public district,154, K-5, Cohoes,12047,NY,12047.0,10970.0,6120.0,3170.0,1420.0,663514.0,670598.0,61.0,3000.0,6499.0
2580,Harmony Hill School,5,Public district,402, K-5, Cohoes,12047,NY,12047.0,10970.0,6120.0,3170.0,1420.0,663514.0,670598.0,61.0,3000.0,6499.0
2581,Burr Intermediate School,5,Public district,675, 3-5, Commack,11725,NY,11725.0,14910.0,6870.0,6750.0,990.0,1718544.0,1742969.0,285.0,8770.0,27068.0
2582,Idle Hour Elementary School,5,Public district,207, K-5, Oakdale,11769,NY,11769.0,5120.0,2680.0,1950.0,370.0,471200.0,476101.0,107.0,2960.0,7582.0
2583,Helen B Duffield Elementary School,5,Public district,386, K-5, Ronkonkoma,11779,NY,11779.0,19510.0,9540.0,7300.0,2230.0,1413265.0,1424256.0,221.0,9050.0,19667.0
2584,Walter G O Connell Copiague High School,5,Public district,"1,608", 9-12, Copiague,11726,NY,11726.0,11400.0,5720.0,2800.0,2680.0,552278.0,556655.0,42.0,3830.0,7646.0
2585,Copiague Middle School,5,Public district,"1,091", 6-8, Copiague,11726,NY,11726.0,11400.0,5720.0,2800.0,2680.0,552278.0,556655.0,42.0,3830.0,7646.0
2586,Great Neck Road Elementary School,5,Public district,621, K-5, Copiague,11726,NY,11726.0,11400.0,5720.0,2800.0,2680.0,552278.0,556655.0,42.0,3830.0,7646.0
2587,Corinth High School,5,Public district,355, 9-12, Corinth,12822,NY,12822.0,2890.0,1340.0,1110.0,360.0,140191.0,141170.0,12.0,640.0,1132.0
2588,Corinth Middle School,5,Public district,261, 6-8, Corinth,12822,NY,12822.0,2890.0,1340.0,1110.0,360.0,140191.0,141170.0,12.0,640.0,1132.0
2589,Corinth Elementary School,5,Public district,550, K-5, Corinth,12822,NY,12822.0,2890.0,1340.0,1110.0,360.0,140191.0,141170.0,12.0,640.0,1132.0
2590,Corning Painted Post East High School,5,Public district,"1,562", 9-12, Corning,14830,NY,14830.0,9500.0,4850.0,3390.0,1030.0,710953.0,717639.0,77.0,2750.0,13532.0
2591,Erwin Valley Elementary School,5,Public district,471, K-5, Painted Post,14870,NY,14870.0,4500.0,2050.0,1960.0,420.0,379404.0,382330.0,38.0,1510.0,6937.0
2592,William E Severn Elementary School,5,Public district,430, K-5, Corning,14830,NY,14830.0,9500.0,4850.0,3390.0,1030.0,710953.0,717639.0,77.0,2750.0,13532.0
2593,F E Smith School,5,Public district,251, K-6, Cortland,13045,NY,13045.0,11380.0,6000.0,3810.0,1330.0,606993.0,615483.0,90.0,2750.0,8225.0
2594,Coxsackie Athens High School,5,Public district,415, 9-12, Coxsackie,12051,NY,12051.0,1830.0,920.0,610.0,260.0,111097.0,112246.0,12.0,540.0,1002.0
2595,Dansville Junior Senior High School,5,Public district,681, 7-12, Dansville,14437,NY,14437.0,4370.0,2040.0,1700.0,530.0,216175.0,218537.0,32.0,840.0,1988.0
2596,Deer Park High School,5,Public district,"1,377", 9-12, Deer Park,11729,NY,11729.0,15230.0,7690.0,5010.0,2190.0,997603.0,1005127.0,146.0,7030.0,17331.0
2597,Delevan Elementary School,5,Public district,444, PK-4, Delevan,14042,NY,14042.0,1710.0,790.0,690.0,210.0,74477.0,75251.0,0.0,270.0,724.0
2598,Cayuga Heights Elementary School,5,Public district,830, K-5, Depew,14043,NY,14043.0,13060.0,7220.0,4410.0,1190.0,672742.0,679150.0,83.0,3720.0,7011.0
2599,Moses Dewitt Elementary School,5,Public district,269, K-4, Syracuse,13214,NY,13214.0,3750.0,1880.0,1320.0,430.0,263547.0,268714.0,56.0,1600.0,5448.0
2600,Downsville Central School,5,Public district,226, PK-12, Downsville,13755,NY,13755.0,580.0,300.0,230.0,60.0,26185.0,26467.0,0.0,100.0,78.0
2601,Dryden High School,5,Public district,444, 9-12, Dryden,13053,NY,13053.0,2210.0,1120.0,830.0,210.0,128186.0,129615.0,21.0,700.0,1925.0
2602,Duanesburg Elementary School,5,Public district,352, K-6, Delanson,12053,NY,12053.0,2200.0,990.0,1000.0,170.0,158509.0,160512.0,17.0,980.0,1865.0
2603,School 4,5,Public district,254, K-5, Dunkirk,14048,NY,14048.0,6330.0,3240.0,1840.0,1110.0,257874.0,260566.0,46.0,830.0,2047.0
2604,School 5,5,Public district,202, K-5, Dunkirk,14048,NY,14048.0,6330.0,3240.0,1840.0,1110.0,257874.0,260566.0,46.0,830.0,2047.0
2605,School 7,5,Public district,308, PK-5, Dunkirk,14048,NY,14048.0,6330.0,3240.0,1840.0,1110.0,257874.0,260566.0,46.0,830.0,2047.0
2606,Citizen Edmond Genet School,5,Public district,419, K-5, East Greenbush,12061,NY,12061.0,5040.0,2580.0,1990.0,390.0,428249.0,433920.0,53.0,2170.0,5122.0
2607,East Hampton High School,5,Public district,950, 9-12, East Hampton,11937,NY,11937.0,8950.0,4750.0,2950.0,1030.0,1099232.0,1125357.0,64.0,4030.0,21494.0
2608,Eastridge Senior High School,5,Public district,983, 9-12, Rochester,14622,NY,14622.0,6720.0,3730.0,2120.0,700.0,361248.0,366194.0,48.0,2350.0,4643.0
2609,Laurelton Pardee Intermediate School,5,Public district,320, 3-5, Rochester,14609,NY,14609.0,20040.0,11300.0,3990.0,4330.0,815381.0,825036.0,137.0,4590.0,9597.0
2610,East Rockaway Junior/Senior High School,5,Public district,549, 7-12, East Rockaway,11518,NY,11518.0,5730.0,2890.0,2150.0,530.0,680456.0,688709.0,100.0,3120.0,9101.0
2611,Edinburg Common School,5,Public district,80, PK-6, Northville,12134,NY,12134.0,1810.0,850.0,760.0,180.0,107370.0,108607.0,18.0,490.0,1273.0
2612,Eldred Junior Senior High School,5,Public district,253, 7-12, Eldred,12732,NY,12732.0,380.0,170.0,150.0,40.0,25897.0,26135.0,0.0,140.0,263.0
2613,Elizabethtown Lewis Central School,5,Public district,246, K-12, Elizabethtown,12932,NY,12932.0,620.0,290.0,250.0,70.0,35664.0,36128.0,0.0,150.0,322.0
2614,Elmira Free Academy,5,Public district,838, 8-9, Elmira,14905,NY,14905.0,4260.0,2080.0,1610.0,490.0,286978.0,291146.0,48.0,1360.0,6050.0
2615,Charles F Johnson Jr Elementary School,4,Public district,397, K-5, Endicott,13760,NY,13760.0,21250.0,10860.0,7580.0,2400.0,1233510.0,1248807.0,185.0,5630.0,16457.0
2616,George F Johnson Elementary School,4,Public district,555, K-5, Endicott,13760,NY,13760.0,21250.0,10860.0,7580.0,2400.0,1233510.0,1248807.0,185.0,5630.0,16457.0
2617,Thomas J Watson Sr Elementary School,4,Public district,297, K-5, Endicott,13760,NY,13760.0,21250.0,10860.0,7580.0,2400.0,1233510.0,1248807.0,185.0,5630.0,16457.0
2618,Saltzman East Memorial Elementary School,4,Public district,578, K-5, Farmingdale,11735,NY,11735.0,17850.0,9450.0,6290.0,1740.0,1497638.0,1513338.0,226.0,8760.0,28084.0
2619,Fort Edward School,4,Public district,512, PK-12, Fort Edward,12828,NY,12828.0,4760.0,2400.0,1750.0,540.0,235987.0,238144.0,35.0,1140.0,1666.0
2620,Fredonia Middle School,4,Public district,447, 5-8, Fredonia,14063,NY,14063.0,5000.0,2470.0,1970.0,490.0,295644.0,299906.0,73.0,1470.0,3956.0
2621,Leo F Giblyn School,4,Public district,636, K-4, Freeport,11520,NY,11520.0,24410.0,12890.0,5310.0,5740.0,1306242.0,1316425.0,184.0,9180.0,26460.0
2622,Fulton Junior High School,4,Public district,479, 7-8, Fulton,13069,NY,13069.0,10670.0,4980.0,3920.0,1560.0,514299.0,518948.0,75.0,2160.0,3987.0
2623,G Ray Bodley High School,4,Public district,"1,107", 9-12, Fulton,13069,NY,13069.0,10670.0,4980.0,3920.0,1560.0,514299.0,518948.0,75.0,2160.0,3987.0
2624,J E Lanigan School,4,Public district,443, K-6, Fulton,13069,NY,13069.0,10670.0,4980.0,3920.0,1560.0,514299.0,518948.0,75.0,2160.0,3987.0
2625,Granby Elementary School,4,Public district,492, K-6, Fulton,13069,NY,13069.0,10670.0,4980.0,3920.0,1560.0,514299.0,518948.0,75.0,2160.0,3987.0
2626,Volney Elementary School,4,Public district,386, K-6, Fulton,13069,NY,13069.0,10670.0,4980.0,3920.0,1560.0,514299.0,518948.0,75.0,2160.0,3987.0
2627,Geneseo Elementary School,4,Public district,391, K-5, Geneseo,14454,NY,14454.0,3060.0,1520.0,1240.0,250.0,221331.0,225203.0,45.0,1120.0,3857.0
2628,Gilboa Conesville Central School,4,Public district,320, PK-12, Gilboa,12076,NY,12076.0,580.0,260.0,250.0,60.0,31590.0,31848.0,0.0,150.0,260.0
2629,Glen Cove High School,4,Public district,"1,029", 9-12, Glen Cove,11542,NY,11542.0,13720.0,7120.0,4360.0,1890.0,1168717.0,1183886.0,103.0,5750.0,18616.0
2630,Landing School,4,Public district,353, 3-5, Glen Cove,11542,NY,11542.0,13720.0,7120.0,4360.0,1890.0,1168717.0,1183886.0,103.0,5750.0,18616.0
2631,Gorham Elementary School,4,Public district,259, 3-5, Stanley,14561,NY,14561.0,1310.0,630.0,530.0,120.0,68041.0,69201.0,11.0,290.0,617.0
2632,Gouverneur Junior Senior High School,4,Public district,901, 5-12, Gouverneur,13642,NY,13642.0,3420.0,1530.0,1350.0,490.0,166729.0,168368.0,30.0,540.0,1181.0
2633,Mary J Tanner Primary School,4,Public district,339, PK-3, Middle Granville,12849,NY,12849.0,300.0,160.0,110.0,30.0,14672.0,14836.0,0.0,70.0,45.0
2634,Craig Hill Elementary School,4,Public district,322, 3-5, Rochester,14626,NY,14626.0,15920.0,8190.0,5820.0,1570.0,947138.0,959313.0,113.0,5700.0,14749.0
2635,Arcadia High School,4,Public district,"1,106", 9-12, Rochester,14612,NY,14612.0,18230.0,9380.0,6580.0,1890.0,1087915.0,1101452.0,156.0,6570.0,17043.0
2636,Olympia High School,4,Public district,"1,033", 6-12, Rochester,14615,NY,14615.0,7880.0,4260.0,1690.0,1740.0,303976.0,306392.0,31.0,1470.0,3174.0
2637,Highview School,4,Public district,272, 2-3, Hartsdale,10530,NY,10530.0,7220.0,3890.0,2610.0,510.0,958867.0,972748.0,106.0,4630.0,15707.0
2638,Richard J Bailey School,4,Public district,438, 4-6, White Plains,10607,NY,10607.0,4060.0,1930.0,1410.0,610.0,408525.0,412889.0,43.0,2180.0,8075.0
2639,Greenport High School,4,Public district,361, 7-12, Greenport,11944,NY,11944.0,2350.0,1290.0,680.0,340.0,184022.0,186606.0,11.0,960.0,4807.0
